year,rank,country,happiness,GDP,social_support,healthy,freedom,generosity,corruption,rank,happiness,GDP,social_support2019,healthy,freedom2019,generosity,corruption,rank2020,happiness,GDP,social_support,healthy,freedom,generosity,corruption,dystopia2020,rank2021,happiness,GDP,social_support,healthy,freedom,generosity,corruption,dystopia2021,rank2022,happiness,GDP,social_support,healthy,freedom,generosity,corruption,dystopia2022
2018,89.0,Macedonia,5.185,0.959,1.239,0.691,0.394,0.173,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,90.0,Jordan,5.161,0.822,1.265,0.645,0.468,0.13,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,91.0,Nigeria,5.155,0.689,1.172,0.048,0.462,0.201,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,92.0,Kyrgyzstan,5.131,0.53,1.416,0.594,0.54,0.281,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,93.0,Bosnia and Herzegovina,5.129,0.915,1.078,0.758,0.28,0.216,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,94.0,Mongolia,5.125,0.914,1.517,0.575,0.395,0.253,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,95.0,Vietnam,5.103,0.715,1.365,0.702,0.618,0.177,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,96.0,Indonesia,5.093,0.899,1.215,0.522,0.538,0.484,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,97.0,Bhutan,5.082,0.796,1.335,0.527,0.541,0.364,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,98.0,Somalia,4.982,0.0,0.712,0.115,0.674,0.238,0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,99.0,Cameroon,4.975,0.535,0.891,0.182,0.454,0.183,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,100.0,Bulgaria,4.933,1.054,1.515,0.712,0.359,0.064,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,101.0,Nepal,4.88,0.425,1.228,0.539,0.526,0.302,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,102.0,Venezuela,4.806,0.996,1.469,0.657,0.133,0.056,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,103.0,Gabon,4.758,1.036,1.164,0.404,0.356,0.032,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,104.0,Palestinian Territories,4.743,0.642,1.217,0.602,0.266,0.086,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,105.0,South Africa,4.724,0.94,1.41,0.33,0.516,0.103,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,106.0,Iran,4.707,1.059,0.771,0.691,0.459,0.282,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,107.0,Ivory Coast,4.671,0.541,0.872,0.08,0.467,0.146,0.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,108.0,Ghana,4.657,0.592,0.896,0.337,0.499,0.212,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,109.0,Senegal,4.631,0.429,1.117,0.433,0.406,0.138,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,110.0,Laos,4.623,0.72,1.034,0.441,0.626,0.23,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,111.0,Tunisia,4.592,0.9,0.906,0.69,0.271,0.04,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,112.0,Albania,4.586,0.916,0.817,0.79,0.419,0.149,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,113.0,Sierra Leone,4.571,0.256,0.813,0.0,0.355,0.238,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,114.0,Congo (Brazzaville),4.559,0.682,0.811,0.343,0.514,0.091,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,115.0,Bangladesh,4.5,0.532,0.85,0.579,0.58,0.153,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
